"","week","cases"
"128",2004.2868852459,4
"129",2004.30601092896,6
"130",2004.32513661202,7
"131",2004.34426229508,5
"132",2004.36338797814,8
"133",2004.3825136612,6
"134",2004.40163934426,5
"135",2004.42076502732,6
"136",2004.43989071038,6
"137",2004.45901639344,13
"138",2004.4781420765,2
"139",2004.49726775956,10
"140",2004.51639344262,3
"141",2004.53551912568,12
"142",2004.55464480874,7
"143",2004.5737704918,6
"144",2004.59289617486,5
"145",2004.61202185792,6
"146",2004.63114754098,6
"147",2004.65027322404,6
"148",2004.6693989071,8
"149",2004.68852459016,6
"150",2004.70765027322,9
"151",2004.72677595628,12
"152",2004.74590163934,19
"153",2004.7650273224,8
"154",2004.78415300546,16
"155",2004.80327868852,21
"156",2004.82240437158,6
"157",2004.84153005464,22
"158",2004.8606557377,37
"159",2004.87978142077,33
"160",2004.89890710383,18
"161",2004.91803278689,19
"162",2004.93715846995,26
"163",2004.95628415301,32
"164",2004.97540983607,7
"165",2005,9
"166",2005.01917808219,10
"167",2005.03835616438,5
"168",2005.05753424658,8
"169",2005.07671232877,7
"170",2005.09589041096,8
"171",2005.11506849315,11
"172",2005.13424657534,6
"173",2005.15342465753,7
"174",2005.17260273973,7
"175",2005.19178082192,14
"176",2005.21095890411,7
"177",2005.2301369863,9
"178",2005.24931506849,13
"179",2005.26849315068,16
"180",2005.28767123288,7
"181",2005.30684931507,9
"182",2005.32602739726,2
"183",2005.34520547945,13
"184",2005.36438356164,8
"185",2005.38356164384,3
"186",2005.40273972603,5
"187",2005.42191780822,4
"188",2005.44109589041,8
"189",2005.4602739726,2
"190",2005.47945205479,3
"191",2005.49863013699,5
"192",2005.51780821918,7
"193",2005.53698630137,3
"194",2005.55616438356,5
"195",2005.57534246575,6
"196",2005.59452054795,5
"197",2005.61369863014,5
"198",2005.63287671233,4
"199",2005.65205479452,0
"200",2005.67123287671,0
"201",2005.6904109589,0
"202",2005.7095890411,0
"203",2005.72876712329,0
"204",2005.74794520548,2
"205",2005.76712328767,4
"206",2005.78630136986,4
"207",2005.80547945205,3
"208",2005.82465753425,3
"209",2005.84383561644,5
"210",2005.86301369863,6
"211",2005.88219178082,14
"212",2005.90136986301,3
"213",2005.92054794521,7
"214",2005.9397260274,11
"215",2005.95890410959,2
"216",2005.97808219178,6
"217",2006,8
"218",2006.01917808219,25
"219",2006.03835616438,21
"220",2006.05753424658,10
"221",2006.07671232877,28
"222",2006.09589041096,39
"223",2006.11506849315,20
"224",2006.13424657534,24
"225",2006.15342465753,28
"226",2006.17260273973,26
"227",2006.19178082192,8
"228",2006.21095890411,9
"229",2006.2301369863,12
"230",2006.24931506849,18
"231",2006.26849315068,9
"232",2006.28767123288,9
"233",2006.30684931507,6
"234",2006.32602739726,6
"235",2006.34520547945,8
"236",2006.36438356164,5
"237",2006.38356164384,7
"238",2006.40273972603,6
"239",2006.42191780822,5
"240",2006.44109589041,3
"241",2006.4602739726,1
"242",2006.47945205479,0
"243",2006.49863013699,1
"244",2006.51780821918,2
"245",2006.53698630137,3
"246",2006.55616438356,2
"247",2006.57534246575,2
"248",2006.59452054795,2
"249",2006.61369863014,2
"250",2006.63287671233,2
"251",2006.65205479452,4
"252",2006.67123287671,0
"253",2006.6904109589,6
"254",2006.7095890411,3
"255",2006.72876712329,2
"256",2006.74794520548,6
"257",2006.76712328767,2
"258",2006.78630136986,7
"259",2006.80547945205,4
"260",2006.82465753425,6
"261",2006.84383561644,6
"262",2006.86301369863,2
"263",2006.88219178082,13
"264",2006.90136986301,10
"265",2006.92054794521,5
"266",2006.9397260274,2
"267",2006.95890410959,0
"268",2006.97808219178,1
"269",2007,0
"270",2007.01917808219,14
"271",2007.03835616438,6
"272",2007.05753424658,10
"273",2007.07671232877,5
"274",2007.09589041096,12
"275",2007.11506849315,9
"276",2007.13424657534,5
"277",2007.15342465753,11
"278",2007.17260273973,2
"279",2007.19178082192,6
"280",2007.21095890411,7
"281",2007.2301369863,6
"282",2007.24931506849,5
"283",2007.26849315068,9
"284",2007.28767123288,5
"285",2007.30684931507,8
"286",2007.32602739726,3
"287",2007.34520547945,4
"288",2007.36438356164,11
"289",2007.38356164384,5
"290",2007.40273972603,8
"291",2007.42191780822,4
"292",2007.44109589041,3
"293",2007.4602739726,1
"294",2007.47945205479,2
"295",2007.49863013699,3
"296",2007.51780821918,4
"297",2007.53698630137,1
"298",2007.55616438356,8
"299",2007.57534246575,5
"300",2007.59452054795,3
"301",2007.61369863014,2
"302",2007.63287671233,7
"303",2007.65205479452,1
"304",2007.67123287671,6
"305",2007.6904109589,7
"306",2007.7095890411,5
"307",2007.72876712329,2
"308",2007.74794520548,6
"309",2007.76712328767,11
"310",2007.78630136986,6
"311",2007.80547945205,3
"312",2007.82465753425,11
"313",2007.84383561644,11
"314",2007.86301369863,5
"315",2007.88219178082,4
"316",2007.90136986301,9
"317",2007.92054794521,23
"318",2007.9397260274,28
"319",2007.95890410959,26
"320",2007.97808219178,7
"321",2008,29
"322",2008.01912568306,58
"323",2008.03825136612,26
"324",2008.05737704918,38
"325",2008.07650273224,35
"326",2008.0956284153,37
"327",2008.11475409836,20
"328",2008.13387978142,29
"329",2008.15300546448,25
"330",2008.17213114754,23
"331",2008.1912568306,9
"332",2008.21038251366,3
"333",2008.22950819672,6
"334",2008.24863387978,6
"335",2008.26775956284,3
"336",2008.2868852459,1
"337",2008.30601092896,3
"338",2008.32513661202,1
"339",2008.34426229508,1
"340",2008.36338797814,0
"341",2008.3825136612,2
"342",2008.40163934426,1
"343",2008.42076502732,1
"344",2008.43989071038,0
"345",2008.45901639344,0
"346",2008.4781420765,1
"347",2008.49726775956,0
"348",2008.51639344262,3
"349",2008.53551912568,3
"350",2008.55464480874,1
"351",2008.5737704918,5
"352",2008.59289617486,2
"353",2008.61202185792,5
"354",2008.63114754098,5
"355",2008.65027322404,5
"356",2008.6693989071,9
"357",2008.68852459016,17
"358",2008.70765027322,19
"359",2008.72677595628,25
"360",2008.74590163934,45
"361",2008.7650273224,34
"362",2008.78415300546,63
"363",2008.80327868852,44
"364",2008.82240437158,50
"365",2008.84153005464,35
"366",2008.8606557377,16
"367",2008.87978142077,16
"368",2008.89890710383,13
"369",2008.91803278689,9
"370",2008.93715846995,15
"371",2008.95628415301,4
"372",2008.97540983607,0
"373",2009,1
"374",2009.01917808219,10
"375",2009.03835616438,11
"376",2009.05753424658,29
"377",2009.07671232877,35
"378",2009.09589041096,30
"379",2009.11506849315,20
"380",2009.13424657534,21
"381",2009.15342465753,12
"382",2009.17260273973,9
"383",2009.19178082192,11
"384",2009.21095890411,9
"385",2009.2301369863,5
"386",2009.24931506849,11
"387",2009.26849315068,3
"388",2009.28767123288,5
"389",2009.30684931507,5
"390",2009.32602739726,4
"391",2009.34520547945,4
"392",2009.36438356164,1
"393",2009.38356164384,0
"394",2009.40273972603,2
"395",2009.42191780822,3
"396",2009.44109589041,3
"397",2009.4602739726,5
"398",2009.47945205479,2
